Repo,File,Function,Line,CCN,Grade,Priority
jeeves-core,jeeves_protocols\grpc_client.py,_envelope_from_proto,555,26,D,CRITICAL
jeeves-core,jeeves_protocols\grpc_client.py,_envelope_to_proto,465,25,D,CRITICAL
jeeves-core,jeeves_mission_system\api\server.py,submit_request,528,23,D,CRITICAL
jeeves-core,jeeves_protocols\envelope.py,from_dict,124,23,D,CRITICAL
jeeves-core,jeeves_mission_system\api\health.py,_check_models,183,20,C,CRITICAL
jeeves-core,jeeves_mission_system\common\plan_triage.py,triage_plan,26,20,C,CRITICAL
jeeves-core,jeeves_mission_system\tests\config\markers.py,apply_skip_markers,164,20,C,CRITICAL
jeeves-core,jeeves_memory_module\manager.py,read,200,20,C,CRITICAL
jeeves-core,jeeves_protocols\agents.py,_call_llm,173,19,C,HIGH
jeeves-core,jeeves_protocols\agents.py,process,108,18,C,HIGH
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,test_save_first_checkpoint,98,17,C,HIGH
jeeves-core,jeeves_protocols\agents.py,run,393,17,C,HIGH
jeeves-core,jeeves_memory_module\services\xref_manager.py,extract_refs_from_text,300,17,C,HIGH
jeeves-core,jeeves_avionics\llm\factory.py,create_llm_provider,46,16,C,HIGH
jeeves-core,jeeves_avionics\tests\unit\distributed\test_redis_bus.py,test_enqueue_task_stores_data,117,16,C,HIGH
jeeves-core,jeeves_mission_system\api\governance.py,_render_governance_html,296,16,C,HIGH
jeeves-core,jeeves_mission_system\services\worker_coordinator.py,_process_task,336,16,C,HIGH
jeeves-core,jeeves_protocols\protocols.py,__post_init__,46,16,C,HIGH
jeeves-core,jeeves_protocols\utils.py,extract_json,21,16,C,HIGH
jeeves-core,jeeves_mission_system\services\chat_service.py,list_sessions,144,15,C,HIGH
jeeves-core,jeeves_protocols\envelope.py,__post_init__,98,15,C,HIGH
jeeves-core,jeeves_memory_module\services\embedding_service.py,embed_batch,123,15,C,HIGH
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,test_fork_creates_new_branch,537,14,C,MEDIUM
jeeves-core,jeeves_mission_system\api\server.py,lifespan,181,14,C,MEDIUM
jeeves-core,jeeves_mission_system\tests\integration\test_governance_api.py,test_tool_endpoint_returns_health_report,192,14,C,MEDIUM
jeeves-core,jeeves_memory_module\repositories\tool_metrics_repository.py,get_tool_stats,213,14,C,MEDIUM
jeeves-core,jeeves_avionics\database\postgres_client.py,_prepare_query_and_params,95,13,C,MEDIUM
jeeves-core,jeeves_avionics\llm\gateway.py,_extract_tool_calls,503,13,C,MEDIUM
jeeves-core,jeeves_avionics\llm\providers\mock.py,_mock_planner_response,159,13,C,MEDIUM
jeeves-core,jeeves_avionics\tests\unit\distributed\test_redis_bus.py,test_dequeue_task_success,211,13,C,MEDIUM
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,test_exact_match_agent_lifecycle_specific,235,13,C,MEDIUM
jeeves-core,jeeves_protocols\utils.py,normalize_string_list,125,13,C,MEDIUM
airframe,airframe\adapters\llama_server.py,stream_infer,54,13,C,MEDIUM
jeeves-core,jeeves_avionics\llm\providers\mock.py,generate,26,12,C,MEDIUM
jeeves-core,jeeves_avionics\llm\providers\mock.py,_mock_intent_classification,95,12,C,MEDIUM
jeeves-core,jeeves_avionics\tools\catalog.py,generate_planner_prompt,454,12,C,MEDIUM
jeeves-core,jeeves_mission_system\tests\integration\conftest.py,cleanup_after_test,159,12,C,MEDIUM
jeeves-core,jeeves_mission_system\tests\unit\core\test_context_bounds.py,test_bounds_are_positive,166,12,C,MEDIUM
jeeves-core,jeeves_protocols\agents.py,run_streaming,444,12,C,MEDIUM
jeeves-core,jeeves_memory_module\repositories\graph_stub.py,get_neighbors,166,12,C,MEDIUM
jeeves-core,jeeves_memory_module\repositories\graph_stub.py,find_path,207,12,C,MEDIUM
jeeves-core,jeeves_memory_module\repositories\graph_stub.py,query_subgraph,247,12,C,MEDIUM
jeeves-core,jeeves_memory_module\services\chunk_service.py,_split_text,335,12,C,MEDIUM
airframe,airframe\adapters\openai_chat.py,stream_infer,66,12,C,MEDIUM
jeeves-core,jeeves_avionics\feature_flags.py,validate_dependencies,393,11,C,MEDIUM
jeeves-core,jeeves_avionics\database\postgres_client.py,insert,602,11,C,MEDIUM
jeeves-core,jeeves_avionics\database\postgres_graph.py,get_neighbors,224,11,C,MEDIUM
jeeves-core,jeeves_avionics\database\postgres_graph.py,query_subgraph,348,11,C,MEDIUM
jeeves-core,jeeves_avionics\gateway\routers\interrupts.py,respond_to_interrupt,146,11,C,MEDIUM
jeeves-core,jeeves_avionics\middleware\rate_limit.py,_extract_user_id,226,11,C,MEDIUM
jeeves-core,jeeves_avionics\observability\otel_adapter.py,on_agent_completed,339,11,C,MEDIUM
jeeves-core,jeeves_mission_system\api\server.py,submit_clarification,687,11,C,MEDIUM
jeeves-core,jeeves_mission_system\events\bridge.py,_translate_event,114,11,C,MEDIUM
jeeves-core,jeeves_mission_system\orchestrator\governance_service.py,GetHealthSummary,125,11,C,MEDIUM
jeeves-core,jeeves_mission_system\services\debug_api.py,compare_executions,281,11,C,MEDIUM
jeeves-core,jeeves_mission_system\tests\integration\test_gateway.py,test_dashboard_endpoint,144,11,C,MEDIUM
jeeves-core,jeeves_mission_system\tests\integration\test_governance_api.py,test_health_endpoint_returns_system_summary,103,11,C,MEDIUM
jeeves-core,jeeves_mission_system\tests\integration\test_governance_api.py,TestGovernanceToolEndpoint,188,11,C,MEDIUM
jeeves-core,jeeves_memory_module\intent_classifier.py,_parse_llm_response,178,11,C,MEDIUM
jeeves-core,jeeves_memory_module\repositories\pgvector_repository.py,search,154,11,C,MEDIUM
jeeves-core,jeeves_memory_module\repositories\skill_stub.py,find_skills,133,11,C,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\repositories\test_trace_repository.py,test_create_trace,14,11,C,MEDIUM
jeeves-core,jeeves_avionics\llm\gateway.py,complete_stream,650,10,B,MEDIUM
jeeves-core,jeeves_avionics\llm\providers\azure.py,generate_stream,133,10,B,MEDIUM
jeeves-core,jeeves_avionics\llm\providers\mock.py,_extract_user_response,343,10,B,MEDIUM
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,test_is_internal_event_lifecycle,75,10,B,MEDIUM
jeeves-core,jeeves_avionics\webhooks\service.py,emit_event,324,10,B,MEDIUM
jeeves-core,jeeves_mission_system\tests\acceptance\test_pytest_imports.py,test_memory_imports,10,10,B,MEDIUM
jeeves-core,jeeves_protocols\config.py,get_ready_stages,121,10,B,MEDIUM
jeeves-core,jeeves_protocols\events.py,__post_init__,103,10,B,MEDIUM
jeeves-core,jeeves_protocols\protocols.py,RequestContext,17,10,B,MEDIUM
jeeves-core,jeeves_protocols\tests\unit\test_enums.py,TestToolCategory,44,10,B,MEDIUM
jeeves-core,jeeves_memory_module\adapters\sql_adapter.py,read_by_filter,176,10,B,MEDIUM
jeeves-core,jeeves_memory_module\repositories\trace_repository.py,get_agent_metrics,443,10,B,MEDIUM
jeeves-core,jeeves_memory_module\services\xref_manager.py,get_related_items,215,10,B,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\test_intent_classifier.py,MockLLMProvider,9,10,B,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\repositories\test_event_repository.py,test_create_event,14,10,B,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\repositories\test_event_repository.py,test_to_dict,48,10,B,MEDIUM
jeeves-core,jeeves_memory_module\tests\unit\services\test_session_state_service.py,test_session_state_to_dict,549,10,B,MEDIUM
airframe,airframe\adapters\llama_server.py,_stream_sse,135,10,B,MEDIUM
jeeves-core,jeeves_avionics\wiring.py,execute,171,9,B,LOW
jeeves-core,jeeves_avionics\database\factory.py,_maybe_init_schema,64,9,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\chat.py,_process_event_stream,479,9,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\health.py,get_dashboard,98,9,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\interrupts.py,list_interrupts,239,9,B,LOW
jeeves-core,jeeves_avionics\llm\providers\mock.py,_mock_confirmation_detection,372,9,B,LOW
jeeves-core,jeeves_avionics\llm\providers\mock.py,_mock_confirmation_interpretation,419,9,B,LOW
jeeves-core,jeeves_avionics\observability\otel_adapter.py,start_span,222,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,TestSaveCheckpoint,94,9,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,test_list_single_checkpoint,307,9,B,LOW
